Location,Scenario,Contextual_Similarity
Car Accident Site,Lost in Translation,0.7806
Elevator,Hiding under a bed to avoid a conversation,0.7806
College Campus,Office Holiday Party,0.7805
On the phone,Trying to start a fire by rubbing two sticks together,0.7805
Online,Playing hide and seek and falling asleep,0.7805
Courtroom,Suing a restaurant because the food was too spicy,0.7805
College Campus,Muddy Festival Camping,0.7805
Airport,Waking up in a different country with no memory of how you got there,0.7805
Sporting Event,Spilling red wine on a white carpet,0.7804
Casual Dining Restaurant,Complaining about the food to the chef who happens to be your date,0.7804
Police Station,Swimming in a public fountain,0.7804
Backyard,Camping Trip Where Everything Goes Wrong,0.7804
Casual Dining Restaurant,Murder Mystery Dinner,0.7804
Upscale Hotel Lobby,Discovering a secret room behind a bookcase,0.7803
Indoor Shooting Range,Hiding in a retail store until after it closes,0.7803
Prison,Getting Locked Out,0.7803
Bus Station,Lost in Translation,0.7803
Ice Cave,Trying to sell ice to an Eskimo,0.7803
On the phone,Trapped in a tent with a friend who won't stop talking,0.7803
Car Accident Site,House Party That Got Out of Hand,0.7803
Taxi,Negotiating a ride hitchhiking with a very strange driver,0.7803
Courtroom,Hiding in a retail store until after it closes,0.7803
Courtroom,Throwing a temper tantrum in a grocery store,0.7803
Fast Food Restaurant,Accidentally promising to cook a five-course meal for 20 people,0.7803
Upscale Hotel Lobby,Wearing a tuxedo to a pool party,0.7803
Ice Cream Parlor,Explaining to a cop why you are driving a stolen ice cream truck,0.7803
On the phone,Trying to barter with a toll booth operator,0.7803
Car Accident Site,Defending your terrible parallel parking job holding up traffic,0.7803
Cemetery,Purchasing a haunted antique that won't stop screaming,0.7802
Sporting Event,Falling Asleep During a Meeting,0.7802
Diner,Murder Mystery Dinner,0.7802
Principal's Office,First Day at a New Job,0.7802
Elementary School Classroom,Setting off fireworks indoors,0.7802
Dorm Room,Playing hide and seek and falling asleep,0.7802
Emergency Room,Lost in Translation,0.7802
Clock Tower,Playing hide and seek and falling asleep,0.7801
Fast Food Restaurant,Faking a proposal just to get a free dessert at a restaurant,0.7801
Ambulance,Falling asleep at the wheel of a parked car and screaming when you wake up,0.7801
Black-Tie Event,Pretending to know the host of a VIP party you crashed,0.7801
Apartment Building,Dropping the bride's ring down a sewer grate,0.7801
Sporting Event,Sneaking into a celebrity's dressing room,0.78
Elevator,Making a Scene in a Restaurant,0.78
Deli,Making a Scene in a Restaurant,0.78
Public Restroom,Dropping your phone in the toilet while on a video call,0.7799
Online,Setting off fireworks indoors,0.7799
International Space Station,Accidentally volunteering for a one-way trip to Mars,0.7799
Black-Tie Event,House Party That Got Out of Hand,0.7799
Funeral Home,Attempting to start a wave at a funeral,0.7799
Restaurant,Biting into a fake apple at an open house,0.7799
Upscale Hotel Lobby,Setting off fireworks indoors,0.7799
Waiting Room,Making a Scene in a Restaurant,0.7799
Swamp,Trying to break a curse by kissing a frog,0.7798
Attic,Hiding under a bed to avoid a conversation,0.7798
Orchard,Biting into a fake apple at an open house,0.7798
On the phone,Opening someone else's mail and finding a ransom note,0.7798
Beach,Playing hide and seek and falling asleep,0.7798
Subway Train,Making a Scene in a Restaurant,0.7798
College Campus,House Party That Got Out of Hand,0.7798
Fast Food Restaurant,Hiding in a retail store until after it closes,0.7798
Egyptian Pyramids,Getting caught trying to steal a souvenir from a sacred temple,0.7797
Elevator,Hiding in a retail store until after it closes,0.7797
Jungle,Playing hide and seek and falling asleep,0.7797
Limousine,Making a Scene in a Restaurant,0.7797
Nightclub,Trying to sneak out of a house party with a stolen bottle of wine,0.7796
Yacht Party,Office Holiday Party,0.7796
Prison,Lost in Translation,0.7796
Yacht Party,House Party That Got Out of Hand,0.7796
Police Car,Undercover Sting Operation,0.7796
Sporting Event,Wearing a tuxedo to a pool party,0.7796
Dorm Room,Discovering your roommate is a werewolf,0.7796
Apartment Building,Playing hide and seek and falling asleep,0.7795
Skate Park,Being challenged to a dance battle by a group of teenagers,0.7795
On the phone,Walking in on a crime scene,0.7795
River,Dropping the bride's ring down a sewer grate,0.7795
Upscale Hotel Lobby,Lost in Translation,0.7795
Prom,Making a Scene in a Restaurant,0.7795
Salvage Yard,Trying to build a time machine out of garbage,0.7794
Factory,Setting off fireworks indoors,0.7794
Police Car,Evading Arrest,0.7793
Restaurant,Trying to return a half-eaten sandwich,0.7793
Shopping Mall,Attempting to buy groceries with monopoly money,0.7793
Car Accident Site,Setting off fireworks indoors,0.7793
Coffeehouse,Hiding in a retail store until after it closes,0.7793
Police Station,Dropping the bride's ring down a sewer grate,0.7793
Prison,Planning a Bank Heist,0.7793
Forest,Taking a bite out of a decorative wax apple,0.7793
Elevator,Getting trapped on a ski lift with a loud chewer,0.7793
Dungeon,Discovering a secret room behind a bookcase,0.7793
City,Making a Scene in a Restaurant,0.7792
Prison Cell,Hiding in a retail store until after it closes,0.7792
Sewers,Swimming in a public fountain,0.7792
University Quad,Sending an event announcement with a massive typo to the entire university,0.7792
Car Accident Site,Emergency Evacuation,0.7792
Bank Vault,Escaping a boring party by crawling through a vent,0.7792
International Space Station,Setting off fireworks indoors,0.7792
College Campus,Setting off fireworks indoors,0.7791
Graveyard,Playing hide and seek and falling asleep,0.7791
Spaceship,Emergency Evacuation,0.7791
Elevator,Discovering a secret room behind a bookcase,0.7791
Nightclub,Hiding in a retail store until after it closes,0.779
On the phone,Camping Trip Where Everything Goes Wrong,0.779
Prom,Setting off fireworks indoors,0.779
Zoo,Swimming in a public fountain,0.779
Fire Station,Refusing to leave a store that is actively burning down,0.779
Bank Vault,Hacking a Secure System,0.779
Movie Set,Playing hide and seek and falling asleep,0.7789
Morgue,Trying to hide a dead body in a shallow grave,0.7789
Sporting Event,Dropping the bride's ring down a sewer grate,0.7789
Prison,Dropping the bride's ring down a sewer grate,0.7788
Restaurant,Setting off fireworks indoors,0.7788
Parade,Playing hide and seek and falling asleep,0.7788
City,Waking up in a different country with no memory of how you got there,0.7788
Carnival,Setting off fireworks indoors,0.7788
Underwater,Taking a bite out of a decorative wax apple,0.7788
Kitchen,Taking a bite out of a decorative wax apple,0.7788
Police Station,Opening someone else's mail and finding a ransom note,0.7788
Online,Forgetting to wear pants to a Zoom meeting and standing up,0.7787
Prison,Discovering a secret room behind a bookcase,0.7787
House Party,Wearing a tuxedo to a pool party,0.7787
Courtroom,Agreeing to be a getaway driver for a minor traffic offense,0.7787
Hunting Cabin,Playing hide and seek and falling asleep,0.7787
Forest,Setting off fireworks indoors,0.7787
Airport,Emergency Evacuation,0.7787
On the phone,Swimming in a public fountain,0.7786
Pub,Swimming in a public fountain,0.7786
Library,Discovering a secret room behind a bookcase,0.7786
Sporting Event,High-Stakes Poker Game,0.7786
Ballroom,Trapped in a revolving door with a mime,0.7786
College Campus,Making a Scene in a Restaurant,0.7786
Prison Cell,Getting Locked Out,0.7786
On the phone,Dropping the bride's ring down a sewer grate,0.7786
Alien Planet,Escaping a bad blind date by faking an alien abduction,0.7785
Car Accident Site,Dropping the bride's ring down a sewer grate,0.7785
Hiking Trail,Trying to lead a wilderness hike with absolutely zero experience,0.7785
Water Park,Camping Trip Where Everything Goes Wrong,0.7785
Laboratory,Trying to start a fire by rubbing two sticks together,0.7785
House Party,Setting off fireworks indoors,0.7784
Attic,Discovering a secret room behind a bookcase,0.7784
Ambulance,Calling 911 because you lost the TV remote,0.7784
Underwater,Camping Trip Where Everything Goes Wrong,0.7784
Theater,Biting into a fake apple at an open house,0.7784
Car Accident Site,Muddy Festival Camping,0.7784
Prison,Trying to arrest a suspect using a citizen's arrest,0.7783
Museum,Setting off fireworks indoors,0.7782
Clock Tower,Purchasing a haunted antique that won't stop screaming,0.7782
Elevator,First Day at a New Job,0.7782
Airplane,Making a Scene in a Restaurant,0.7782
Halloween Party,Hosting a dinner party during a zombie apocalypse,0.7782
Space Station,Accidentally volunteering for a one-way trip to Mars,0.7782
Camp,Trapped in a tent with a friend who won't stop talking,0.7782
Prison,Trying to start a fire by rubbing two sticks together,0.7782
Nightclub,Starting a Bar Fight,0.7782
Airport,Hiding in a retail store until after it closes,0.7781
Jungle,Trying to escape a maze,0.7781
Alley,Escaping a boring party by crawling through a vent,0.7781
College Campus,Hiding under a bed to avoid a conversation,0.778
Castle,Dropping the bride's ring down a sewer grate,0.778
Hair Salon,Trying to give yourself a haircut in the dark,0.778
Haunted House,Playing hide and seek and falling asleep,0.778
Black-Tie Event,Spilling red wine on a white carpet,0.778
Theater,Trapped in a revolving door with a mime,0.778
College Campus,Swimming in a public fountain,0.778
Campsite,Trapped in a tent with a friend who won't stop talking,0.778
Amusement Park,Playing hide and seek and falling asleep,0.778
Apartment Building,Lost in Translation,0.778
Jungle,Camping Trip Where Everything Goes Wrong,0.778
Elevator,Pulling a fire alarm to get out of a bad date,0.778
Desert,Lost in Translation,0.7779
Nightclub,Lost in Translation,0.7779
Car Accident Site,Accidentally destroying a child's sandcastle masterpiece,0.7779
Bowling Alley,Setting off fireworks indoors,0.7779
Run-Down Apartment,Playing hide and seek and falling asleep,0.7779
Hotel Room,Hiding under a bed to avoid a conversation,0.7779
Police Car,Negotiating a ride hitchhiking with a very strange driver,0.7778
Car Accident Site,Accidental Reply-All Disaster,0.7778
Sporting Event,Accidentally wearing a Halloween costume to a black-tie wedding,0.7778
Basement,Discovering a secret room behind a bookcase,0.7778
Restaurant,Swimming in a public fountain,0.7778
Courthouse,Trying to arrest a suspect using a citizen's arrest,0.7778
Sporting Event,Escaping a boring party by crawling through a vent,0.7777
Military Helicopter,Setting off fireworks indoors,0.7777
Subway Train,Lost in Translation,0.7777
Bonfire,Trying to start a fire by rubbing two sticks together,0.7777
Attic,Purchasing a haunted antique that won't stop screaming,0.7776
Movie Theater,Hiding in a retail store until after it closes,0.7776
Art Studio,Trying to pass off a fake painting to an art appraiser,0.7776
Rock Concert,Stealing the microphone at a karaoke bar,0.7776
Taxi,Making a Scene in a Restaurant,0.7775
Restaurant,Taking a bite out of a decorative wax apple,0.7775
Dorm Room,Sneaking into a celebrity's dressing room,0.7775
Zoo,Playing hide and seek and falling asleep,0.7775
Museum,Playing hide and seek and falling asleep,0.7775
Theater,Taking a bite out of a decorative wax apple,0.7775
Forest,Swimming in a public fountain,0.7775
Elementary School Classroom,Trying to start a fire by rubbing two sticks together,0.7775
Prom,Swimming in a public fountain,0.7775
Castle,Taking a bite out of a decorative wax apple,0.7775
City Bus,Negotiating a ride hitchhiking with a very strange driver,0.7775
Birthday Party,Arriving Way Too Early to a Party,0.7775
Swamp,Swimming in a public fountain,0.7774
Ski Resort,Getting trapped on a ski lift with a loud chewer,0.7774
Waiting Room,Discovering a secret room behind a bookcase,0.7774
Prom,Wearing a tuxedo to a pool party,0.7774
Bus Station,Navigating a foreign city with a broken map and no language skills,0.7774
Underwater,Trying to hide a dead body in a shallow grave,0.7774
Amusement Park,Camping Trip Where Everything Goes Wrong,0.7774
Ballroom,Office Holiday Party,0.7774
Courtroom,Solving a Murder,0.7774
Attic,Setting off fireworks indoors,0.7774
Airport,Making a Scene in a Restaurant,0.7774
Medieval Castle,Discovering a secret room behind a bookcase,0.7773
Car Accident Site,Navigating a foreign city with a broken map and no language skills,0.7773
Prison,Breaking a priceless vase at a museum and trying to glue it back,0.7773
Prison Cell,Sneaking into a celebrity's dressing room,0.7773
Bus Station,Negotiating a ride hitchhiking with a very strange driver,0.7773
Sporting Event,Spitting out terrible food into a napkin while the chef watches,0.7773
Theater,Dropping the bride's ring down a sewer grate,0.7773
Park,Setting off fireworks indoors,0.7773
Pool Hall,High-Stakes Poker Game,0.7773
Prison Cell,Camping Trip Where Everything Goes Wrong,0.7773
Cemetery,Playing hide and seek and falling asleep,0.7773
College Campus,Biting into a fake apple at an open house,0.7772
Hiking Trail,Getting Lost Without a Map,0.7772
City,Walking in on a crime scene,0.7772
Sporting Event,Hiding in a retail store until after it closes,0.7772
Church,Swearing in front of a group of nuns,0.7772
Limousine,Negotiating a ride hitchhiking with a very strange driver,0.7772
Medieval Castle,Accidentally destroying a child's sandcastle masterpiece,0.7772
Campsite,Trying to start a fire by rubbing two sticks together,0.7772
Hospital Room,Hiding under a bed to avoid a conversation,0.7771
Village,Playing hide and seek and falling asleep,0.7771
Elevator,Escaping a boring date through the bathroom window,0.7771
Grocery Store,Getting caught hoarding all the free samples at the bakery,0.7771
Rainforest,Trying to start a fire by rubbing two sticks together,0.777
Golf Course,Swimming in a public fountain,0.777
Nightclub,Buying a supposedly haunted car that just plays bad 80s music,0.777
Church,Making a Scene in a Restaurant,0.777
Underwater,Biting into a fake apple at an open house,0.777
Museum,Making a Scene in a Restaurant,0.7769
Circus,Playing hide and seek and falling asleep,0.7769
Junkyard,Buying a supposedly haunted car that just plays bad 80s music,0.7769
Waiting Room,Playing hide and seek and falling asleep,0.7769
Sewers,Setting off fireworks indoors,0.7769
On the phone,Spilling red wine on a white carpet,0.7769
Underwater,Admitting you don't know what water is,0.7768
House Fire,Emergency Evacuation,0.7768
Ballroom,Spilling red wine on a white carpet,0.7768
Kitchen,Spilling red wine on a white carpet,0.7768
Ambulance,Setting off fireworks indoors,0.7768
Elevator,Escape Room Disaster,0.7768
Airport,Impersonating a pilot to get free drinks,0.7768
Space Station,Emergency Evacuation,0.7767
Sporting Event,Interrupting a moment of silence with a loud ringtone,0.7767
Mansion,Buying a supposedly haunted car that just plays bad 80s music,0.7767
Greenhouse,Biting into a fake apple at an open house,0.7767
Gymnasium,Swimming in a public fountain,0.7767
Sporting Event,Witnessing a bank robbery and asking for an autograph,0.7767
Fast Food Restaurant,3am Drunk Food Run,0.7767
Underwater,Saving a drowning person who didn't want to be saved,0.7767
Prison Cell,Hiding a Fugitive,0.7767
Military Base,Emergency Evacuation,0.7767
Hotel Room,Sneaking into a celebrity's dressing room,0.7767
Fast Food Restaurant,Trying to pay for a meal by washing dishes,0.7766
Black-Tie Event,Making a Scene in a Restaurant,0.7766
Elementary School Classroom,Biting into a fake apple at an open house,0.7766
Sporting Event,House Party That Got Out of Hand,0.7766
Countryside,Taking a bite out of a decorative wax apple,0.7765
Haunted House,Setting off fireworks indoors,0.7765
Hospital,Lost in Translation,0.7765
Graveyard,Purchasing a haunted antique that won't stop screaming,0.7765
Laboratory,Playing hide and seek and falling asleep,0.7765
On the phone,First Day at a New Job,0.7765
Car Accident Site,Trying to teach a dog how to drive a car,0.7765
House Party,Arriving Way Too Early to a Party,0.7765
Fast Food Restaurant,Trying to return a half-eaten sandwich,0.7765
Car Wash,Trying to pay for a meal by washing dishes,0.7765
Museum,Getting caught taking selfies at a somber historical monument,0.7764
Run-Down Apartment,Setting off fireworks indoors,0.7764
Military Base,Setting off fireworks indoors,0.7763
Restaurant,Office Holiday Party,0.7763
Limousine,Wearing a tuxedo to a pool party,0.7763
Laboratory,Lost in Translation,0.7763
Restaurant,Entering a hot dog eating contest to impress a vegetarian,0.7763
Medieval Castle,Purchasing a haunted antique that won't stop screaming,0.7763
Park,Making a Scene in a Restaurant,0.7763
Prison,Fleshing Out a Heist Plan,0.7763
Parade,Swimming in a public fountain,0.7762
Kitchen,Trying to pay for a meal by washing dishes,0.7762
Nightclub,Walking in on a crime scene,0.7762
Fast Food Restaurant,Getting caught putting a fake bug in your soup for a free meal,0.7762
Wedding Reception,Setting off fireworks indoors,0.7762
Online,Camping Trip Where Everything Goes Wrong,0.7761
Movie Set,Camping Trip Where Everything Goes Wrong,0.7761
Island,Lost in Translation,0.7761
Virtual Reality World,Lost in Translation,0.7761
College Campus,Navigating a foreign city with a broken map and no language skills,0.776
Secret Passageway,Playing hide and seek and falling asleep,0.776
Prison Cell,Getting trapped in a porta-potty,0.776
Spaceship,Lost in Translation,0.776
Alley,Dropping the bride's ring down a sewer grate,0.776
Underwater,Spilling red wine on a white carpet,0.776
Sporting Event,Dropping the birthday cake right before singing,0.776
Underwater,Keeping a stolen penguin in your bathtub,0.776
Courtroom,Having a shouting match with a parrot,0.776
Ballroom,Kicking a soccer ball into someone's face,0.776
Beach Party,Escaping a boring party by crawling through a vent,0.7759
Emergency Room,Hiding under a bed to avoid a conversation,0.7759
Prison,Swimming in a public fountain,0.7759
Underground Storm Shelter,Hiding in a retail store until after it closes,0.7758
Restaurant,Hosting a dinner party during a zombie apocalypse,0.7758
Circus,Swimming in a public fountain,0.7758
Airplane,Interrupting a moment of silence with a loud ringtone,0.7758
University Lecture Hall,Setting off fireworks indoors,0.7758
Subway Train,Dropping the bride's ring down a sewer grate,0.7758
Apartment Building,Biting into a fake apple at an open house,0.7758
Sporting Event,Throwing a temper tantrum in a grocery store,0.7758
Ballroom,Trying to escape a maze,0.7757
Train Station,Opening someone else's mail and finding a ransom note,0.7757
Prom,House Party That Got Out of Hand,0.7757
On the phone,Firing someone via text message,0.7757
Nightclub,Defending a terrible outfit choice to the bouncer,0.7757
Hospital Room,Discovering a secret room behind a bookcase,0.7757
Backyard,Biting into a fake apple at an open house,0.7757
Prison,Trapped in a revolving door with a mime,0.7757
Alley,Taking a bite out of a decorative wax apple,0.7756
Green Room,Discovering a secret room behind a bookcase,0.7756
Haunted House,Attempting to banish a poltergeist with a broom,0.7756
Airplane,Trying to start a fire by rubbing two sticks together,0.7756
Police Car,Trying to teach a dog how to drive a car,0.7756
Police Car,Explaining why you parked in the Mayor's reserved spot,0.7756
Airport,Trying to smuggle a koala onto a plane,0.7756
Upscale Hotel Lobby,Swimming in a public fountain,0.7756
Fast Food Restaurant,Entering a hot dog eating contest to impress a vegetarian,0.7756
Upscale Hotel Lobby,Spilling coffee on a priceless piece of art,0.7755
Alley,Making a Scene in a Restaurant,0.7755
Courtroom,Planning a Prison Escape,0.7755
Emergency Room,Pulling a fire alarm to get out of a bad date,0.7755
Courtroom,Swimming in a public fountain,0.7755
Elevator,Interrupting a moment of silence with a loud ringtone,0.7755
Apartment Building,Making a Scene in a Restaurant,0.7755
On the phone,Hiding in a retail store until after it closes,0.7754
Living Room,Biting into a fake apple at an open house,0.7754
Alley,Biting into a fake apple at an open house,0.7754
Courtroom,High-Stakes Poker Game,0.7754
Laboratory,Discovering a secret room behind a bookcase,0.7754
Recording Studio,Sneaking into a celebrity's dressing room,0.7754
Big City Street,Swimming in a public fountain,0.7753
Hotel Room,Playing hide and seek and falling asleep,0.7753
Nature Hike,Trying to lead a wilderness hike with absolutely zero experience,0.7753
Laboratory,Biting into a fake apple at an open house,0.7753
Swamp,Camping Trip Where Everything Goes Wrong,0.7753
Volcano,Setting off fireworks indoors,0.7753
Nightclub,Arguing with a Bouncer,0.7753
Nightclub,Murder Mystery Dinner,0.7753
Sporting Event,Accidentally hitting a pedestrian with a golf cart,0.7753
Apartment Building,Purchasing a haunted antique that won't stop screaming,0.7753
Prom,Trying to break a curse by kissing a frog,0.7753
Courtroom,Falling Asleep During a Meeting,0.7753
Space Station,Lost in Translation,0.7753
Break Room,Office Holiday Party,0.7752
Residential Bathroom,Swimming in a public fountain,0.7752
Train Station,Waking up in a different country with no memory of how you got there,0.7752
Flower Shop,Hiding in a retail store until after it closes,0.7752
Prison,Kicking a soccer ball into someone's face,0.7752
On the phone,Negotiating a ride hitchhiking with a very strange driver,0.7751
Prison,Murder Mystery Dinner,0.7751
Taxi,Playing hide and seek and falling asleep,0.7751
Shopping Mall,Lost in Translation,0.7751
Car Accident Site,Going on a Spontaneous Road Trip,0.7751
Countryside,Playing hide and seek and falling asleep,0.7751
Black-Tie Event,Accidentally Crashing a Wedding,0.775
Dorm Room,Escaping a boring party by crawling through a vent,0.775
Limousine,Lost in Translation,0.775
Antiques Shop,Hiding in a retail store until after it closes,0.775
Beach,Lost in Translation,0.775
Grocery Store,Trying to bargain at a corporate chain store,0.775
Police Station,Playing hide and seek and falling asleep,0.775
Desert,Accidentally destroying a child's sandcastle masterpiece,0.775
Prison Cell,Hiding under a bed to avoid a conversation,0.775
Spaceship,Escaping a bad blind date by faking an alien abduction,0.775
College Campus,Playing hide and seek and falling asleep,0.775
Garden,Biting into a fake apple at an open house,0.775
Courtroom,Trapped in a revolving door with a mime,0.775
Ambulance,Walking in on a crime scene,0.775
Garage,Accidentally buying a cursed doll at a garage sale,0.775
Limousine,Sneaking into a celebrity's dressing room,0.775
Prison,Trying to steal a famous painting from a museum,0.7749
White House,Attempting to steal the Declaration of Independence,0.7749
City Bus,Lost in Translation,0.7749
Alien Planet,Defending Earth from aliens using only household appliances,0.7749
Theater,Hiding in a retail store until after it closes,0.7749
Nightclub,Escaping a boring date through the bathroom window,0.7749
Train Station,Setting off fireworks indoors,0.7749
Underwater,Spilling coffee on a priceless piece of art,0.7749
Kitchen,Murder Mystery Dinner,0.7749
Hotel Room,Lost in Translation,0.7749
Emergency Room,Camping Trip Where Everything Goes Wrong,0.7749
Prison Cell,Trapped in a revolving door with a mime,0.7748
Park,Lost in Translation,0.7748
Nightclub,Swimming in a public fountain,0.7748
Park,Dropping the bride's ring down a sewer grate,0.7748
Botanical Garden,Backing over your neighbor's prized rose bush,0.7748
Courtroom,Spitting out terrible food into a napkin while the chef watches,0.7748
Forest,Biting into a fake apple at an open house,0.7748
Kitchen,Not knowing how to use a manual can opener,0.7747
Airport,Navigating a foreign city with a broken map and no language skills,0.7747
Airplane,Falling asleep at the wheel of a parked car and screaming when you wake up,0.7747
Airplane,Spitting out terrible food into a napkin while the chef watches,0.7747
Courtroom,Messy Divorce,0.7747
Pool Hall,House Party That Got Out of Hand,0.7746
Arcade,Setting off fireworks indoors,0.7746
On the phone,Explaining to the mafia boss why the pizza is late,0.7746
Halloween Party,Setting off fireworks indoors,0.7746
Police Station,Lost in Translation,0.7746
Emergency Room,Sneaking into a celebrity's dressing room,0.7746
Snowy Mountain Peak,Trying to sell ice to an Eskimo,0.7746
Theater,Pretending to be blind to get a better seat,0.7746
Garden,Swimming in a public fountain,0.7746
Prison,Accidentally locking yourself in a dog crate,0.7746
Lake,Dropping the bride's ring down a sewer grate,0.7745
Jungle,Swimming in a public fountain,0.7745
Botanical Garden,Taking a bite out of a decorative wax apple,0.7745
Prison,Sneaking into a celebrity's dressing room,0.7745
Halloween Party,Arriving Way Too Early to a Party,0.7745
Skate Park,Falling asleep at the wheel of a parked car and screaming when you wake up,0.7745
Psychic's Shop,Begging a psychic for a refund on a bad reading,0.7745
Cemetery,Investigating a Haunting,0.7744
Ambulance,Lost in Translation,0.7744
Sporting Event,Insisting that birds aren't real at a bird-watching convention,0.7744
Mall,Playing hide and seek and falling asleep,0.7744
Upscale Hotel Lobby,Walking in on a crime scene,0.7744
Underwater,Trying to sell ice to an Eskimo,0.7744
Police Station,Hiding in a retail store until after it closes,0.7744
Antiques Shop,Spilling coffee on a priceless piece of art,0.7744
Hospital Room,Impersonating a doctor to get better hospital food,0.7743
Mansion,House Party That Got Out of Hand,0.7743
Castle,Playing hide and seek and falling asleep,0.7743
Restaurant,Refusing to tip because the waiter sneezed,0.7743
Motel,Camping Trip Where Everything Goes Wrong,0.7743
Courtroom,Trying to steal a famous painting from a museum,0.7743
Upscale Hotel Lobby,High-Stakes Poker Game,0.7743
Police Car,Accidentally hitting a pedestrian with a golf cart,0.7743
Restaurant,Faking your way through a wine tasting as a sommelier,0.7743
Theater,Throwing a temper tantrum in a grocery store,0.7742
Sewers,Trying to fix a leaky pipe with duct tape,0.7742
Antiques Shop,Buying a supposedly haunted car that just plays bad 80s music,0.7742
Moon Base,Accidentally volunteering for a one-way trip to Mars,0.7742
Rock Concert,Auditioning for a musical when you are tone-deaf,0.7742
Cave,Trying to escape a maze,0.7742
Spaceship,Attempting to communicate with aliens via interpretive dance,0.7742
Car Wash,Trying to hide the fact that you live in your car during a date,0.7741
Skate Park,Playing hide and seek and falling asleep,0.7741
Taxi,Falling asleep at the wheel of a parked car and screaming when you wake up,0.7741
Village,Lost in Translation,0.7741
