Location,Scenario,Similarity
Fast Food Restaurant,Murder Mystery Dinner,0.6886
House Fire,Messy Breakup,0.6886
Prison Cell,Starting a Cult,0.6885
Clock Tower,Causing a Public Scene,0.6885
Psychiatric Ward,Hacking a Secure System,0.6885
House Fire,Office Holiday Party,0.6885
Trailer Park,Running from the Cops,0.6885
On the phone,Losing Your Passport,0.6885
On the phone,Falling in love with a customer service chatbot,0.6885
Cabin In The Woods,Getting Locked Out,0.6885
Post-Apocalyptic World,Getting bitten by a radioactive spider and getting terrible powers,0.6885
Principal's Office,First Day at a New Job,0.6884
Medieval Village,Murder Mystery Dinner,0.6884
Workshop,Emergency Evacuation,0.6883
Bowling Alley,Causing a Public Scene,0.6883
White House,Spilling red wine on a white carpet,0.6883
Cruise Ship,Office Holiday Party,0.6882
Rock Concert,Running Out of Gas,0.6882
Mechanic's Shop,Running Out of Gas,0.6882
Prom,Office Holiday Party,0.6882
On the phone,Getting Caught Talking to Yourself,0.6881
Movie Theater,Speed Dating,0.6881
Old Pick-Up Truck,First Day at a New Job,0.6881
Public Restroom,Hiding a Fugitive,0.6881
Prison,Planning a Bank Heist,0.6881
Bank,Negotiating a Ransom,0.688
Bank Vault,Robbing a bank with a banana,0.688
Empty Lot,Lost in Translation,0.6879
Restaurant,Suing a restaurant because the food was too spicy,0.6879
Ghost Town,Solving a Murder,0.6879
Hair Salon,Dealing with a Karen,0.6878
Movie Set,Causing a Public Scene,0.6878
Nursing Home,Getting Locked Out,0.6878
Boarding School,Cheating at a Board Game,0.6878
Ghost Town,Bumping into a Celebrity,0.6877
Sporting Event,Performing an Exorcism,0.6877
Parking Lot,Running into an Ex,0.6877
Cruise Ship,Bumping into a Celebrity,0.6877
Video Arcade,Speed Dating,0.6877
Hotel Room,Getting Friend-Zoned,0.6876
Nursing Home,Performing an Exorcism,0.6876
Sporting Event,Getting Stood Up,0.6876
Old Pick-Up Truck,Backing over your neighbor's prized rose bush,0.6876
Prison,Breaking a priceless vase at a museum and trying to glue it back,0.6876
Nature Hike,Emergency Evacuation,0.6876
Waiting Room,Hiding a Fugitive,0.6875
Post-Apocalyptic World,Hacking a Secure System,0.6875
Construction Site,Running from the Cops,0.6874
Hotel Room,Getting Ghosted,0.6874
Amusement Park,Evading Arrest,0.6874
Frozen Tundra,Running Out of Gas,0.6873
Fast Food Restaurant,Complaining about the food to the chef who happens to be your date,0.6872
Penthouse Suite,Flirting with the Boss,0.6872
Teacher's Lounge,Flirting with the Boss,0.6872
Park,Falling asleep at the wheel of a parked car and screaming when you wake up,0.6872
Workshop,Speed Dating,0.6871
House Fire,Getting Locked Out,0.6871
Science Lab,Emergency Evacuation,0.6871
Therapist's Office,Hiding a Fugitive,0.6871
Empty Lot,Arriving at a potluck empty-handed,0.687
Prison Cell,Performing an Exorcism,0.687
Shopping Mall,Running Out of Gas,0.687
Casino,Arguing with a Bouncer,0.687
Prison Cell,Arguing with a Bouncer,0.687
Construction Site,Getting Stood Up,0.6869
Empty Lot,Getting Ghosted,0.6869
Beach Party,Epic Prank War,0.6869
Horse Racing Track,Running from the Cops,0.6868
Hair Salon,Emergency Evacuation,0.6868
Military Helicopter,Evading Arrest,0.6868
On the phone,Stranded with No Signal,0.6868
Penthouse Suite,Lost in Translation,0.6868
Boarding School,Getting Ghosted,0.6867
Black-Tie Event,Lost in Translation,0.6867
Prison Cell,Solving a Murder,0.6867
Fast Food Restaurant,Getting caught putting a fake bug in your soup for a free meal,0.6867
Egyptian Pyramids,Emergency Evacuation,0.6867
Elevator,Getting Locked Out,0.6867
Airplane,Running Out of Gas,0.6867
Black-Tie Event,Emergency Evacuation,0.6867
Waiting Room,Running from the Cops,0.6866
Airport,Running Out of Gas,0.6866
Yacht Party,Speed Dating,0.6866
Psychiatric Ward,Starting a Bar Fight,0.6866
Hotel Room,Running from the Cops,0.6866
Construction Site,Office Holiday Party,0.6866
Small Town Street,Causing a Public Scene,0.6865
Ice Cream Parlor,Solving a Murder,0.6865
Police Car,Office Holiday Party,0.6865
House Fire,Getting Stood Up,0.6865
Race Track (Horses),Speed Dating,0.6865
Hardware Store,First Day at a New Job,0.6865
Shopping Mall,First Day at a New Job,0.6865
Tropical Resort,Lads/Girls Holiday Vibe,0.6864
Medieval Village,Emergency Evacuation,0.6864
Abandoned Warehouse,Alien Abduction Attempt,0.6864
Run-Down Apartment,Causing a Public Scene,0.6864
Haunted House,Speed Dating,0.6864
House Party,Getting Friend-Zoned,0.6863
Clock Tower,Emergency Evacuation,0.6863
Subway Tunnel,Extreme Jet Lag,0.6863
Cabin In The Woods,Lost in Translation,0.6863
War Zone,High-Stakes Poker Game,0.6863
Recording Studio,Lost in Translation,0.6863
On the phone,Unplugging life support to charge your phone,0.6863
Dystopian World,Emergency Evacuation,0.6863
Aquarium,Swimming in a public fountain,0.6863
Post-Apocalyptic World,Negotiating a Ransom,0.6862
Shopping Mall,Lost in Translation,0.6862
Amusement Park,Escape Room Disaster,0.6862
Hospital Room,Performing an Exorcism,0.6861
Penthouse Suite,High-Stakes Poker Game,0.6861
Nursing Home,Running Out of Gas,0.6861
Run-Down Apartment,Escape Room Disaster,0.6861
Prison,Hacking a Secure System,0.6861
Small Town,Starting a Bar Fight,0.686
Clock Tower,Escape Room Disaster,0.686
Nursing Home,Murder Mystery Dinner,0.6859
Principal's Office,Flirting with the Boss,0.6859
Construction Site,Flirting with the Boss,0.6859
Police Car,Alien Abduction Attempt,0.6859
Laboratory,Trying to escape a maze,0.6859
Harbor,Emergency Evacuation,0.6859
Psychiatric Ward,Getting Ghosted,0.6859
Zoo,Trying to escape a maze,0.6858
War Zone,Epic Prank War,0.6858
Halloween Party,Emergency Evacuation,0.6858
Principal's Office,Emergency Evacuation,0.6858
Pawn Shop,Evading Arrest,0.6857
Construction Site,Solving a Murder,0.6857
Empty Lot,Solving a Murder,0.6857
Parade,Emergency Evacuation,0.6857
Prison Cell,Causing a Public Scene,0.6857
Maze,Solving a Murder,0.6856
Movie Theater,Escape Room Disaster,0.6856
Abandoned Warehouse,Amateur Ghost Hunting,0.6856
Online,Solving a Murder,0.6856
Wedding Reception,Emergency Evacuation,0.6856
Prison,Arguing with a Bouncer,0.6856
Art Gallery,Emergency Evacuation,0.6856
Park,Causing a Public Scene,0.6855
Waiting Room,Getting Ghosted,0.6855
Empty Lot,Evading Arrest,0.6855
Ghost Town,Losing Your Passport,0.6855
Waterfall,Swimming in a public fountain,0.6855
Parking Lot,Backing over your neighbor's prized rose bush,0.6854
Pawn Shop,Causing a Public Scene,0.6854
Grocery Store,Emergency Evacuation,0.6854
Bunker,Emergency Evacuation,0.6853
Amusement Park,Lost in Translation,0.6852
Skate Park,Causing a Public Scene,0.6852
Parking Lot,Dealing with a Karen,0.6852
Secret Passageway,Making a dramatic exit by walking into a closet,0.6852
Ice Cream Parlor,Office Holiday Party,0.6851
Abandoned Warehouse,Getting Stood Up,0.6851
Underwater,Negotiating a Ransom,0.6851
Black-Tie Event,Cult Initiation Ceremony,0.6851
Trailer Park,Evading Arrest,0.685
Principal's Office,Asking for a Demotion,0.685
Dorm Room,Messy Breakup,0.685
Bomb Shelter,Escape Room Disaster,0.685
Waterfall,Emergency Evacuation,0.685
Abandoned Warehouse,Escape Room Disaster,0.685
Train Station,Lost in Translation,0.685
Museum,Getting caught trying to steal a souvenir from a sacred temple,0.685
Cruise Ship,Causing a Public Scene,0.685
Run-Down Apartment,Awkward Morning After,0.6849
House Party,Running from the Cops,0.6849
Break Room,Office Holiday Party,0.6849
Waiting Room,Escape Room Disaster,0.6849
Emergency Room,Messy Breakup,0.6848
Funeral Home,Dealing with a Karen,0.6848
Taxi Cab,Lost in Translation,0.6847
Garage Sale,Emergency Evacuation,0.6847
Shopping Mall,Scamming the Scammer,0.6847
Psychiatric Ward,Running Out of Gas,0.6846
Shopping Mall,Running from the Cops,0.6846
Construction Site,Lost in Translation,0.6845
Medieval Castle,Murder Mystery Dinner,0.6845
Empty Lot,Starting a Bar Fight,0.6845
On the phone,Backing over your neighbor's prized rose bush,0.6845
Therapist's Office,Hacking a Secure System,0.6844
Pet Store,Being audited by the IRS for claiming your pet as a dependent,0.6844
Trailer Park,Causing a Public Scene,0.6844
Convenience Store,Dealing with a Karen,0.6844
Rock Concert,Running from the Cops,0.6844
Car Wash,Causing a Public Scene,0.6844
Underwater,Getting Stood Up,0.6844
Rock Concert,First Day at a New Job,0.6843
Construction Site,Performing an Exorcism,0.6843
City Bus,Evading Arrest,0.6843
Emergency Room,Messy Divorce,0.6843
Fast Food Restaurant,Evading Arrest,0.6842
Wine Cellar,Spilling red wine on a white carpet,0.6842
Submarine,Trying to escape a maze,0.6842
Carnival,Starting a Cult,0.6842
Trailer Park,Dealing with a Karen,0.6842
Graveyard,Performing an Exorcism,0.6842
Virtual Reality World,Performing an Exorcism,0.6841
Ghost Town,Getting Friend-Zoned,0.6841
Black-Tie Event,Staging an Intervention,0.6841
Cabin In The Woods,Alien Abduction Attempt,0.6841
Cruise Ship,Lads/Girls Holiday Vibe,0.684
Mechanic's Shop,Evading Arrest,0.684
Nursing Home,Escape Room Disaster,0.684
Waiting Room,Bumping into a Celebrity,0.684
Public Restroom,Performing an Exorcism,0.684
War Zone,Staging an Intervention,0.684
Parade,Office Holiday Party,0.684
Community Center,Emergency Evacuation,0.684
County Fair,Speed Dating,0.6839
Dystopian World,Starting a Cult,0.6839
Psychiatric Ward,Negotiating a Ransom,0.6839
Kitchen,Dealing with a Karen,0.6839
Post-Apocalyptic World,Losing Your Passport,0.6839
Dorm Room,Awkward Morning After,0.6838
Circus,Ruining a child's birthday party with an inappropriate magic trick,0.6838
Coral Reef,Extreme Jet Lag,0.6838
Nursing Home,Office Holiday Party,0.6838
Cruise Ship,Performing an Exorcism,0.6837
Cabin In The Woods,Discovering a Conspiracy,0.6837
Birthday Party,Bumping into a Celebrity,0.6837
Movie Set,Lost in Translation,0.6837
On the phone,Extreme Jet Lag,0.6837
Boarding School,Causing a Public Scene,0.6837
Construction Site,Getting Ghosted,0.6837
Underwater,Trying to sell ice to an Eskimo,0.6837
Elevator,Not knowing how to use a manual can opener,0.6837
Recording Studio,Office Holiday Party,0.6836
Emergency Room,Getting Friend-Zoned,0.6836
River,Running Out of Gas,0.6836
Prison,Getting caught putting a fake bug in your soup for a free meal,0.6836
Living Room,Performing an Exorcism,0.6836
Cabin In The Woods,Getting Ghosted,0.6835
Funeral Home,Firing a Friend,0.6835
Bomb Shelter,Attempting to build a nuclear reactor in your basement,0.6835
On the phone,Mispronouncing a very common word on live television,0.6835
Ice Cave,Extreme Jet Lag,0.6835
On the phone,Witnessing a bank robbery and asking for an autograph,0.6835
Military Base,Hiding a Fugitive,0.6834
Chicken Coop,Getting Locked Out,0.6834
Small Town,Trying to escape a maze,0.6834
Black-Tie Event,Performing an Exorcism,0.6833
Bus Station,Running Out of Gas,0.6833
Bomb Shelter,Bomb Defusal Under Pressure,0.6833
Sewers,Emergency Evacuation,0.6833
Tree House,Emergency Evacuation,0.6833
Psychiatric Ward,Bumping into a Celebrity,0.6833
Beach Party,Lads/Girls Holiday Vibe,0.6833
City Bus,Speed Dating,0.6833
Ballroom,Being challenged to a dance battle by a group of teenagers,0.6833
Flower Shop,Emergency Evacuation,0.6832
Black-Tie Event,Evading Arrest,0.6832
Police Station,Hiding a Fugitive,0.6832
Theater,Staging an Intervention,0.6832
Emergency Room,Awkward Morning After,0.6832
Dorm Room,Getting Friend-Zoned,0.6832
Nursing Home,Trying to escape a maze,0.6832
War Zone,Causing a Public Scene,0.6831
Small Town,Getting Friend-Zoned,0.6831
Train Station,Speed Dating,0.6831
Psychiatric Ward,Trying to escape a maze,0.6831
Boarding School,Extreme Jet Lag,0.6831
Man Cave,Speed Dating,0.6831
International Space Station,Hacking a Secure System,0.6831
Alien Planet,Escaping a bad blind date by faking an alien abduction,0.683
Clock Tower,Performing an Exorcism,0.683
Executive's Office,Running Out of Gas,0.683
Train Station,Solving a Murder,0.683
Laundromat,Laundering money through a lemonade stand,0.683
Boarding School,Starting a Cult,0.683
Bank Vault,Sneezing during a bank robbery,0.683
Haunted House,Lost in Translation,0.683
Black-Tie Event,Solving a Murder,0.6829
Post-Apocalyptic World,Hiding a Fugitive,0.6829
Empty Lot,Getting Locked Out,0.6829
Secret Laboratory,Hiding a Fugitive,0.6829
Principal's Office,Office Holiday Party,0.6829
County Fair,Getting Stood Up,0.6828
Forest,Trying to escape a maze,0.6828
Abandoned Mine,Running Out of Gas,0.6828
Shopping Mall,Getting Stood Up,0.6828
Police Car,Performing an Exorcism,0.6828
Tattoo Parlor,Office Holiday Party,0.6828
Cheap Motel,Running from the Cops,0.6827
Funeral Home,Escape Room Disaster,0.6827
Truck Stop,Emergency Evacuation,0.6827
Cruise Ship,Lost in Translation,0.6827
Public Restroom,Lost in Translation,0.6827
Greenhouse,Running Out of Gas,0.6826
Garage Sale,Speed Dating,0.6826
Wedding Reception,Accidentally wearing a Halloween costume to a black-tie wedding,0.6826
On the phone,Speed Dating,0.6826
Abandoned Mine,Getting Ghosted,0.6826
Executive's Office,Office Holiday Party,0.6826
Small Town,Losing Your Passport,0.6826
Wedding Reception,Dropping the bride's ring down a sewer grate,0.6826
Black-Tie Event,Awkward Blind Date,0.6826
Workshop,Faking expertise in a high-level technical meeting,0.6826
Post-Apocalyptic World,Disastrous First Date,0.6826
Haunted House,Evading Arrest,0.6825
Fast Food Restaurant,Starting a Bar Fight,0.6824
Ghost Town,Negotiating a Ransom,0.6824
Parking Lot,3am Drunk Food Run,0.6824
House Party,Interrupting a Wedding,0.6824
Casual Dining Restaurant,Spitting out terrible food into a napkin while the chef watches,0.6824
Living Room,Lost in Translation,0.6824
House Party,Starting a Bar Fight,0.6823
Egyptian Pyramids,Trying to escape a maze,0.6823
Bridge,Interrupting a Wedding,0.6823
Forest,Running Out of Gas,0.6823
Psychiatric Ward,Running into an Ex,0.6823
Waiting Room,Trying to escape a maze,0.6823
Birthday Party,Organizing a Surprise Party (and Ruining It),0.6822
Birthday Party,Interrupting a Wedding,0.6822
On the phone,Discovering a Conspiracy,0.6821
Psychic's Shop,Performing an Exorcism,0.6821
Farmer's Market,Speed Dating,0.6821
Military Helicopter,Running from the Cops,0.6821
Train Station,Running Out of Gas,0.6821
Bank Vault,Solving a Murder,0.6821
Public Restroom,Bumping into a Celebrity,0.6821
Living Room,Speed Dating,0.6821
Ghost Town,Starting a Cult,0.682
Grocery Store,First Day at a New Job,0.682
Fast Food Restaurant,Running Out of Gas,0.682
Hotel Room,Evading Arrest,0.682
House Fire,Hiding a Fugitive,0.682
Prison Cell,Planning a Bank Heist,0.682
Golf Course,Solving a Murder,0.6819
Beach Party,Lost in Translation,0.6819
House Fire,First Day at a New Job,0.6819
House Party,Arguing with a Bouncer,0.6819
Small Town,Flirting with the Boss,0.6819
Old Pick-Up Truck,Office Holiday Party,0.6819
Subway Train,Evading Arrest,0.6818
Mall,Explaining why you are walking a cat on a leash in a mall,0.6818
Pool Hall,Causing a Public Scene,0.6818
Beach Party,Getting Stood Up,0.6818
Cruise Ship,First Day at a New Job,0.6818
Tropical Resort,Extreme Jet Lag,0.6817
Rock Concert,Cult Initiation Ceremony,0.6817
Taxi Cab,Getting Stood Up,0.6817
Art Gallery,Speed Dating,0.6817
Maze,Getting Lost Without a Map,0.6817
Cheap Motel,Drunk Calling the Ex,0.6817
On the phone,Falling asleep at the wheel of a parked car and screaming when you wake up,0.6817
County Fair,Starting a Bar Fight,0.6817
Secret Passageway,Cheating at a Board Game,0.6817
Chicken Coop,Dealing with a Karen,0.6817
Bowling Alley,Running into an Ex,0.6817
Woods,Running Out of Gas,0.6816
Living Room,Getting Locked Out,0.6816
Movie Set,Emergency Evacuation,0.6816
Nursing Home,Bumping into a Celebrity,0.6816
Aquarium,Keeping a stolen penguin in your bathtub,0.6816
Chicken Coop,Performing an Exorcism,0.6816
Ice Cream Parlor,Escape Room Disaster,0.6816
Cheap Motel,Lost in Translation,0.6815
Hospital Room,First Day at a New Job,0.6815
Abandoned Mine,Investigating a Haunting,0.6815
Emergency Room,Drunk Calling the Ex,0.6815
Amusement Park,First Day at a New Job,0.6815
Frozen Tundra,Emergency Evacuation,0.6814
Tattoo Parlor,Starting a Bar Fight,0.6814
War Zone,Arguing with a Bouncer,0.6814
Courthouse,Causing a Public Scene,0.6814
Emergency Room,Breaking a priceless vase at a museum and trying to glue it back,0.6814
Police Car,Hiding a Fugitive,0.6814
Quarry,Explaining to border control why your suitcase is full of rocks,0.6814
Bunker,Hiding a Fugitive,0.6814
Truck Stop,Speed Dating,0.6813
Hotel Room,Running into an Ex,0.6813
